"Date","id","name","min","max","Mean"
2022-05-02,1,"Bitcoin",39074.9717589518,38156.5619033136,38615.767
2022-05-09,1,"Bitcoin",34222.0733234166,30296.9534000531,32259.513
2022-05-16,1,"Bitcoin",31305.3425986839,29251.8855581398,30278.614
2022-05-23,1,"Bitcoin",30590.5864837253,28975.5596093713,29783.073
2022-05-30,1,"Bitcoin",31949.6316183118,29303.571633074,30626.602
2022-06-06,1,"Bitcoin",31693.2901114808,29894.1873301778,30793.739
2022-06-13,1,"Bitcoin",26795.5898175946,22141.2575407059,24468.424
2022-06-20,1,"Bitcoin",20913.3219024242,19689.1695110104,20301.246
2022-06-27,1,"Bitcoin",21478.0893638064,20620.1985073849,21049.144
2022-07-04,1,"Bitcoin",20258.7472098173,19063.0661953686,19660.907
2022-07-11,1,"Bitcoin",20856.352967685,19924.5397968986,20390.446
2022-07-18,1,"Bitcoin",22633.0334362237,20781.9115039967,21707.472
2022-07-25,1,"Bitcoin",22649.1213665683,21361.6434545441,22005.382
2022-08-01,1,"Bitcoin",23464.7862772244,22890.7960211693,23177.791
2022-08-08,1,"Bitcoin",24203.6888656304,23176.5472532816,23690.118
2022-08-15,1,"Bitcoin",25135.5903960686,23839.7749751036,24487.683
2022-08-22,1,"Bitcoin",21531.4638488066,20939.1841727079,21235.324
2022-08-29,1,"Bitcoin",20357.4632334576,19600.7850348256,19979.124
2022-09-05,1,"Bitcoin",20031.1602515742,19673.0473387536,19852.104
2022-09-12,1,"Bitcoin",22439.1810089793,21603.8957792787,22021.538
2022-09-19,1,"Bitcoin",19639.4797325487,18390.3187095743,19014.899
2022-09-26,1,"Bitcoin",19274.8734982574,18721.2858513532,18998.08
2022-10-03,1,"Bitcoin",19653.5429529049,19025.2262854468,19339.385
2022-10-10,1,"Bitcoin",19515.4672876602,19102.9792396234,19309.223
2022-10-17,1,"Bitcoin",19635.8022813631,19173.3347235856,19404.569
2022-10-24,1,"Bitcoin",19589.1245755281,19206.3243067081,19397.724
2022-10-31,1,"Bitcoin",20795.3212231777,20287.4590879886,20541.39
2022-11-07,1,"Bitcoin",21053.2461495293,20489.9733436956,20771.61
2022-11-14,1,"Bitcoin",17109.323354055,15872.9416126748,16491.132
2022-11-21,1,"Bitcoin",16291.223799579,15599.0471753829,15945.135
2022-11-28,1,"Bitcoin",16482.9335433104,16054.5302153408,16268.732
2022-12-05,1,"Bitcoin",17378.1533102833,16922.4318687598,17150.293
2022-12-12,1,"Bitcoin",17212.563876631,16899.3937850102,17055.979
2022-12-19,1,"Bitcoin",16807.5265740651,16398.1362516753,16602.831
2022-12-26,1,"Bitcoin",16920.1236404674,16812.3700759233,16866.247
2023-01-02,1,"Bitcoin",16759.3440229184,16572.2288497449,16665.786
2023-01-09,1,"Bitcoin",17389.9575514263,17093.9924981225,17241.975
2023-01-16,1,"Bitcoin",21360.8742794775,20715.7462141198,21038.31
2023-01-23,1,"Bitcoin",23126.4863454372,22654.3044696935,22890.395
2023-01-30,1,"Bitcoin",23789.3471776992,22657.5821676256,23223.465
2023-02-06,1,"Bitcoin",23119.2799503201,22692.0259840498,22905.653
2023-02-13,1,"Bitcoin",21898.4138396757,21460.0885038644,21679.251
2023-02-20,1,"Bitcoin",25020.4595125254,23927.9092534735,24474.184
2023-02-27,1,"Bitcoin",23857.8911252628,23205.8792453501,23531.885
2023-03-06,1,"Bitcoin",22584.2938087023,22331.3148283697,22457.804
2023-03-13,1,"Bitcoin",24550.8374857613,21918.19993089,23234.519
2023-03-20,1,"Bitcoin",28527.7242227414,27242.8807029191,27885.302
2023-03-27,1,"Bitcoin",28037.9258606414,26606.6890011395,27322.307
2023-04-03,1,"Bitcoin",28475.6225074989,27276.7199488097,27876.171
2023-04-10,1,"Bitcoin",29771.46392891,28189.2707713694,28980.367
2023-04-17,1,"Bitcoin",30319.1965766039,29275.3710576336,29797.284
2023-04-24,1,"Bitcoin",27979.9819006629,27070.8494995525,27525.416
